track_id,track_name,artists,track_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,time_signature
TUx5IfCc9tA,Boy's a Liar,PinkPantheress,pop,0.660149,0.8647,5.0,-4.917929,1.0,0.06617,0.297782,0.097419,0.1988,0.839349,133.937877,60000.003767,0.0,4.0
U0d0xpjCjWo,I Will Find,Vintage Culture & Rooftime,dance,0.702119,0.8647,6.0,-5.306362,-0.0,0.038849,0.408923,0.206702,0.1988,0.414342,120.985575,60000.003767,0.0,4.0
u2FepiQ99aA,Coisas Naturais,Marina Sena,pop,0.684457,0.8647,6.0,-2.81742,-0.0,0.013905,0.547841,0.306479,0.1988,0.383086,87.041608,60000.003767,0.0,4.0
UeftS5JL9Nk,Deixa - Ao Vivo,Lagum,pop,0.496922,0.801688,11.0,-6.003316,-0.0,0.099686,0.295433,-0.0,0.1988,0.420974,87.041608,60000.003767,0.0,4.0
uN_qDyNhU7o,When Did You Get Hot?,Sabrina Carpenter,pop,0.649874,0.8647,7.0,-5.259937,-0.0,0.13052,0.069664,-0.0,0.1988,0.490676,87.041608,60000.003767,0.0,4.0
UUNF1HM4EsE,Bed Chem,Sabrina Carpenter,pop,0.653969,0.8647,9.0,-5.192058,-0.0,0.1211,0.0,-0.0,0.1988,0.507594,93.641826,60000.003767,0.0,4.0
uWWMtgPwtOg,Mina do Condomínio,Seu Jorge,samba,0.682038,0.8647,6.0,-4.489987,-0.0,0.092965,0.191355,-0.0,0.1988,0.463295,93.641826,60000.003767,0.0,4.0
V9EUmduEtwU,Lua Cheia,Marina Sena,pop,0.707211,0.8647,7.0,-5.378377,-0.0,0.046783,0.332752,0.174969,0.1988,0.431481,127.137919,60000.003767,0.0,4.0
VGGL8v0Ixww,Roxo,Ana Frango Elétrico,indie-pop,0.634718,0.633621,8.0,-7.720363,-0.0,0.051992,0.441182,0.154131,0.1988,0.33776,141.493387,60000.003767,0.0,4.0
VgQWuyMgLhc,Tudo Pra Amar Você,Marina Sena,pop,0.659424,0.8647,8.0,-5.3329,-0.0,0.091327,0.334995,-0.0,0.1988,0.430976,182.509011,60000.003767,0.0,4.0
vHiWtpSSkuU,Dela,Ana Frango Elétrico & JOCA,"alternativa, indie",0.686644,0.380259,8.0,-11.192437,-0.0,0.084506,0.182642,0.024076,0.1988,0.319923,115.392535,60000.003767,0.0,4.0
vkX6yFVFRYY,Where Are Ü Now (with Justin Bieber),Jack Ü & Skrillex,dance,0.631313,0.8647,9.0,-4.465858,-0.0,0.075748,0.14121,0.059109,0.1988,0.474578,141.493387,60000.003767,0.0,4.0
wlF2COLkZLQ,Xereca de Mel,MC Mari & Shevchenko e Elloco,"alternativa, indie",0.803162,0.244656,7.0,-13.843337,-0.0,0.182118,0.036997,-0.0,0.1988,0.312012,127.137919,60000.003767,0.0,4.0
WVSVCz_mhUw,EITA MENINA,"Lagum, L7NNON, & Mart'nália",pop,0.814776,0.627381,1.0,-7.791142,1.0,0.083899,0.268367,0.026506,0.1988,0.774772,149.93778,60000.003767,0.0,4.0
-WwvwxdHtyY,Pilantra,"DENNIS, MC Kevin o Chris, & Henry Freitas",baile funk,0.764131,0.8647,1.0,-2.472432,-0.0,0.064714,0.256352,0.103242,0.1988,0.448671,127.137919,60000.003767,0.0,4.0
x4icFSdXa9o,Ouro de Tolo,Marina Sena,pop,0.633298,0.609962,1.0,-7.991822,-0.0,0.043057,0.450694,0.189873,0.1988,0.328522,127.137919,60000.003767,0.0,4.0
-XES9-nyk9I,Saí para ver o mar,Marina Sena & Rachel Reis,pop,0.692207,0.8647,1.0,-5.190518,-0.0,0.030554,0.458464,0.239883,0.1988,0.403196,110.285847,60000.003767,0.0,4.0
XhhelUK6kz4,Papin,MC Kevin o Chris & MC CAJA,funk,0.832578,0.8647,0.0,-5.272449,-0.0,0.095823,0.240561,-0.0,0.1988,0.452224,133.937877,60000.003767,0.0,4.0
xn5JkQJmQEA,Maria I'm Drunk,Travis Scott,rap,0.616182,0.8647,11.0,-4.759316,-0.0,0.084508,0.252044,0.024067,0.1988,0.44964,105.604715,60000.003767,0.0,4.0
xNeJI1YNeh0,Dr. Sabe Tudo,Ana Frango Elétrico,indie-pop,0.623209,0.473155,7.0,-9.753432,1.0,0.094686,0.146114,-0.0,0.1988,0.756011,120.985575,60000.003767,0.0,4.0
xPjq75pbewI,Close to you,PinkPantheress,pop,0.695653,0.849521,3.0,-5.570849,-0.0,0.030564,0.45036,0.239845,0.1988,0.400465,133.937877,60000.003767,0.0,4.0
XQJOQcpsrTw,Felicidade,Seu Jorge,música tropical,0.567528,0.769303,4.0,-6.308843,-0.0,0.087415,0.256819,0.01244,0.1988,0.419947,110.285847,60000.003767,0.0,4.0
Xtrmd2ZO1oY,BH,Carol Biazin,pop,0.634052,0.8647,10.0,-4.17421,1.0,0.060466,0.297962,0.120238,0.1988,0.839309,93.641826,60000.003767,0.0,4.0
XuKq7zT_0nM,Illegal,PinkPantheress,pop,0.545786,0.8647,0.0,-4.368676,1.0,0.08261,0.181565,0.031659,0.1988,0.865498,67.776114,60000.003767,0.0,4.0
y1Z5hww2e4E,Dr. Renato Aragão,Juia,indie,0.460387,0.8647,2.0,-3.220437,1.0,0.120466,0.251965,-0.0,0.1988,0.849658,149.93778,60000.003767,0.0,4.0
yU-uq9B6yns,Vai Piranha Se Envolve,MC Kevin o Chris & DJ Feijão do Anaia,"house, techno",0.769448,0.8647,1.0,-4.271129,1.0,0.118836,0.131315,-0.0,0.1988,0.876804,127.137919,60000.003767,0.0,4.0
ZBRuPESPiog,Raindrops (Insane),Metro Boomin & Travis Scott,hip-hop,0.628512,0.8647,2.0,-1.724308,1.0,0.027613,0.333657,0.251649,0.1988,0.831277,110.285847,60000.003767,0.0,4.0
zPoCkH0meLQ,Desmitificar,Marina Sena,pop,0.662816,0.80083,9.0,-6.011279,-0.0,0.0526,0.344912,0.1517,0.1988,0.409584,87.041608,60000.003767,0.0,4.0
zTdDQ7v_Lb8,When I’m Home,"James Blake, Travis Scott, & Ludwig Göransson",indie,0.424033,0.8647,0.0,-3.532728,1.0,0.0,0.541634,0.3922,0.1988,0.784482,159.437723,60000.003767,0.0,4.0
zTmgXA6vIgQ,BAGUNÇA,Carol Biazin,pop,0.597664,0.770184,0.0,-6.300389,-0.0,0.112975,0.030649,-0.0,0.1988,0.471099,110.285847,60000.003767,0.0,4.0
d6oEc7n3ASo,Maresia,João Gomes,forro,0.727179,0.8647,2.0,-4.120387,-0.0,0.100024,0.229677,-0.0,0.1988,0.454673,141.493387,60000.003767,0.0,4.0
gA1nKo3q3t4,Ainda Bem,Marisa Monte,mpb,0.55195,0.600504,2.0,-8.102758,-0.0,0.026597,0.554356,0.255712,0.1988,0.302361,120.985575,60000.003767,0.0,4.0
U9-7g39loe0,Segredo,Sophia Chablau e Uma Enorme Perda de Tempo,"alternativa, indie",0.539742,0.500664,5.0,-9.369355,1.0,0.141462,0.144057,-0.0,0.1988,0.764726,76.241258,60000.003767,0.0,4.0
zpzoG5KGaHg,Tempo Perdido,Legiao Urbana,rock,0.516855,0.25789,4.0,-13.545945,-0.0,0.12793,0.085057,-0.0,0.1988,0.305169,90.223855,60000.003767,0.0,4.0
